Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: Alaska Airlines Inc. (AS)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/06/2018","0745","N403AS","SEA","15:52","15:53","345","322","1","16:06","13","0","0","0","0","0"
"AS","01/06/2019","0085","N287AK","SEA","06:05","09:12","354","317","187","09:28","16","150","0","0","0","0"
"AS","01/06/2019","0745","N282AK","SEA","15:25","15:30","353","321","5","15:44","14","0","0","0","0","0"
"AS","01/07/2015","0745","N419AS","SEA","18:10","18:07","334","343","-3","18:23","16","0","0","0","0","0"
"AS","01/07/2016","0745","N453AS","SEA","18:40","18:38","339","292","-2","18:50","12","0","0","0","0","0"
"AS","01/07/2016","0749","N403AS","SEA","07:00","06:59","335","297","-1","07:13","14","0","0","0","0","0"
"AS","01/07/2017","0749","N251AK","SEA","07:05","07:22","335","431","17","09:05","103","0","17","96","0","0"
"AS","01/07/2017","0777","N492AS","SEA","18:40","18:44","335","361","4","19:01","17","0","0","30","0","0"
"AS","01/07/2018","0745","N270AK","SEA","15:52","15:48","345","331","-4","16:01","13","0","0","0","0","0"
"AS","01/07/2019","0745","N285AK","SEA","15:00","15:39","345","352","39","15:57","18","39","0","7","0","0"
"AS","01/08/2015","0745","N467AS","SEA","18:10","18:11","334","335","1","18:27","16","0","0","0","0","0"
"AS","01/08/2016","0745","N468AS","SEA","18:40","18:41","339","301","1","18:50","9","0","0","0","0","0"
"AS","01/08/2016","0749","N479AS","SEA","07:00","06:56","335","292","-4","07:10","14","0","0","0","0","0"
"AS","01/08/2017","0749","N264AK","SEA","07:05","07:18","335","375","13","07:48","30","0","13","40","0","0"
"AS","01/08/2017","0777","N236AK","SEA","18:40","18:40","335","384","0","19:02","22","0","0","49","0","0"
"AS","01/08/2018","0085","N481AS","SEA","06:15","06:04","345","352","-11","06:18","14","0","0","0","0","0"
"AS","01/08/2018","0745","N440AS","SEA","15:52","15:46","345","340","-6","16:03","17","0","0","0","0","0"
"AS","01/08/2019","0745","N263AK","SEA","15:00","14:54","345","335","-6","15:11","17","0","0","0","0","0"
"AS","01/09/2015","0745","N442AS","SEA","18:10","18:31","334","338","21","18:53","22","0","0","4","0","21"
"AS","01/09/2016","0745","N478AS","SEA","18:40","18:39","339","296","-1","18:50","11","0","0","0","0","0"
"AS","01/09/2016","0749","N477AS","SEA","07:00","06:54","335","316","-6","07:10","16","0","0","0","0","0"
"AS","01/09/2017","0749","N487AS","SEA","07:05","06:59","335","355","-6","07:17","18","0","0","0","0","0"
"AS","01/09/2017","0777","N474AS","SEA","18:40","18:42","335","344","2","19:01","19","0","0","0","0","0"
"AS","01/09/2018","0745","N275AK","SEA","15:52","15:51","345","323","-1","16:02","11","0","0","0","0","0"
"AS","01/09/2019","0745","N277AK","SEA","15:00","15:15","345","354","15","15:35","20","4","0","9","0","11"
"AS","01/10/2015","0745","N467AS","SEA","18:10","18:16","334","315","6","18:29","13","0","0","0","0","0"
"AS","01/10/2016","0745","N413AS","SEA","18:40","18:43","340","308","3","18:57","14","0","0","0","0","0"
"AS","01/10/2016","0749","N440AS","SEA","07:00","06:58","335","316","-2","07:11","13","0","0","0","0","0"
"AS","01/10/2017","0749","N448AS","SEA","07:05","06:59","335","340","-6","07:18","19","0","0","0","0","0"
"AS","01/10/2017","0777","N468AS","SEA","18:40","18:45","335","396","5","19:06","21","0","0","66","0","0"
"AS","01/10/2018","0745","N428AS","SEA","15:52","15:44","345","339","-8","16:02","18","0","0","0","0","0"
"AS","01/10/2019","0745","N296AK","SEA","15:00","15:10","345","336","10","15:29","19","0","0","0","0","0"
"AS","01/11/2015","0745","N457AS","SEA","18:10","18:26","340","310","16","18:37","11","0","0","0","0","0"
"AS","01/11/2016","0745","N431AS","SEA","18:40","18:34","340","343","-6","18:54","20","0","0","0","0","0"
"AS","01/11/2016","0749","N459AS","SEA","07:00","06:59","335","312","-1","07:16","17","0","0","0","0","0"
"AS","01/11/2017","0749","N407AS","SEA","07:05","06:57","335","333","-8","07:12","15","0","0","0","0","0"
"AS","01/11/2017","0777","N428AS","SEA","18:40","18:34","335","327","-6","18:48","14","0","0","0","0","0"
"AS","01/11/2018","0745","N274AK","SEA","15:52","15:44","345","342","-8","16:15","31","0","0","0","0","0"
"AS","01/11/2019","0745","N468AS","SEA","15:00","15:03","345","311","3","15:20","17","0","0","0","0","0"
"AS","01/12/2015","0745","N461AS","SEA","18:10","18:15","340","319","5","18:42","27","0","0","0","0","0"
"AS","01/12/2016","0745","N491AS","SEA","18:40","18:39","340","363","-1","18:58","19","0","0","22","0","0"
"AS","01/12/2016","0749","N402AS","SEA","07:00","06:56","335","351","-4","07:14","18","0","0","0","0","0"
"AS","01/12/2017","0749","N494AS","SEA","07:05","06:55","335","332","-10","07:08","13","0","0","0","0","0"
"AS","01/12/2017","0777","N457AS","SEA","18:40","18:35","335","343","-5","18:46","11","0","0","0","0","0"
"AS","01/12/2018","0745","N423AS","SEA","15:52","15:41","345","332","-11","16:08","27","0","0","0","0","0"
"AS","01/12/2019","0745","N251AK","SEA","15:00","15:04","345","310","4","15:20","16","0","0","0","0","0"
"AS","01/13/2015","0745","N419AS","SEA","18:10","18:27","340","325","17","18:50","23","0","0","0","0","0"
"AS","01/13/2016","0745","N413AS","SEA","18:40","18:38","340","328","-2","18:51","13","0","0","0","0","0"
"AS","01/13/2016","0749","N419AS","SEA","07:00","07:00","335","328","0","07:13","13","0","0","0","0","0"
"AS","01/13/2017","0749","N481AS","SEA","07:05","06:48","335","331","-17","07:05","17","0","0","0","0","0"
"AS","01/13/2017","0777","N471AS","SEA","18:40","18:35","335","315","-5","18:48","13","0","0","0","0","0"
"AS","01/13/2018","0745","N266AK","SEA","15:52","15:53","345","333","1","16:06","13","0","0","0","0","0"
"AS","01/13/2019","0745","N402AS","SEA","15:00","15:12","345","315","12","15:30","18","0","0","0","0","0"
"AS","01/14/2015","0745","N467AS","SEA","18:10","18:10","340","311","0","18:24","14","0","0","0","0","0"
"AS","01/14/2016","0745","N583AS","SEA","18:40","18:53","340","311","13","19:10","17","0","0","0","0","0"
"AS","01/14/2016","0749","N469AS","SEA","07:00","07:59","335","323","59","08:16","17","0","47","0","0","0"
"AS","01/14/2017","0749","N413AS","SEA","07:05","06:58","335","315","-7","07:13","15","0","0","0","0","0"
"AS","01/14/2017","0777","N263AK","SEA","18:40","18:35","335","315","-5","18:49","14","0","0","0","0","0"
"AS","01/14/2018","0745","N469AS","SEA","15:52","15:48","345","324","-4","16:01","13","0","0","0","0","0"
"AS","01/14/2019","0745","N274AK","SEA","15:00","15:01","345","323","1","15:16","15","0","0","0","0","0"
"AS","01/15/2015","0745","N413AS","SEA","18:10","18:14","340","324","4","18:27","13","0","0","0","0","0"
"AS","01/15/2016","0745","N487AS","SEA","18:40","18:50","340","329","10","19:01","11","0","0","0","0","0"
"AS","01/15/2016","0749","N487AS","SEA","07:00","06:58","335","318","-2","07:11","13","0","0","0","0","0"
"AS","01/15/2017","0749","N461AS","SEA","07:05","07:02","335","318","-3","07:19","17","0","0","0","0","0"
"AS","01/15/2017","0777","N265AK","SEA","18:40","18:35","335","314","-5","18:50","15","0","0","0","0","0"
"AS","01/15/2018","0745","N277AK","SEA","15:52","15:53","345","324","1","16:13","20","0","0","0","0","0"
"AS","01/15/2019","0745","N287AK","SEA","15:00","15:02","345","313","2","15:19","17","0","0","0","0","0"
"AS","01/16/2015","0745","N423AS","SEA","18:10","18:12","340","327","2","18:28","16","0","0","0","0","0"
"AS","01/16/2016","0745","N409AS","SEA","18:40","18:35","340","339","-5","18:48","13","0","0","0","0","0"
"AS","01/16/2016","0749","N556AS","SEA","07:00","07:00","335","340","0","07:14","14","0","0","0","0","0"
"AS","01/16/2017","0749","N428AS","SEA","07:05","06:55","335","310","-10","07:11","16","0","0","0","0","0"
"AS","01/16/2017","0777","N440AS","SEA","18:40","18:34","335","332","-6","18:51","17","0","0","0","0","0"
"AS","01/16/2018","0745","N442AS","SEA","15:52","15:47","345","314","-5","16:06","19","0","0","0","0","0"
"AS","01/16/2019","0745","N266AK","SEA","15:00","14:53","345","340","-7","15:12","19","0","0","0","0","0"
"AS","01/17/2015","0745","N409AS","SEA","18:10","18:17","340","342","7","18:29","12","0","0","0","0","0"
"AS","01/17/2016","0745","N486AS","SEA","18:40","18:34","340","356","-6","18:48","14","0","0","0","0","0"
"AS","01/17/2016","0749","N527AS","SEA","07:00","06:46","335","337","-14","06:59","13","0","0","0","0","0"
"AS","01/17/2017","0749","N494AS","SEA","07:05","06:54","335","312","-11","07:10","16","0","0","0","0","0"
"AS","01/17/2017","0777","N474AS","SEA","18:40","18:38","335","322","-2","18:51","13","0","0","0","0","0"
"AS","01/17/2018","0745","N277AK","SEA","15:52","16:08","345","340","16","16:33","25","0","0","0","0","0"
"AS","01/17/2019","0745","N283AK","SEA","15:00","14:56","345","350","-4","15:15","19","0","0","0","0","0"
"AS","01/18/2015","0745","N464AS","SEA","18:10","18:06","340","340","-4","18:22","16","0","0","0","0","0"
"AS","01/18/2016","0745","N442AS","SEA","18:40","18:35","340","347","-5","18:51","16","0","0","0","0","0"
"AS","01/18/2016","0749","N433AS","SEA","07:00","06:57","335","340","-3","07:10","13","0","0","0","0","0"
"AS","01/18/2017","0749","N459AS","SEA","07:05","07:01","335","337","-4","07:14","13","0","0","0","0","0"
"AS","01/18/2017","0777","N493AS","SEA","18:40","18:48","335","316","8","19:05","17","0","0","0","0","0"
"AS","01/18/2018","0745","N248AK","SEA","15:52","15:50","345","337","-2","16:11","21","0","0","0","0","0"
"AS","01/18/2019","0745","N292AK","SEA","15:00","14:54","345","350","-6","15:22","28","0","0","0","0","0"
"AS","01/19/2015","0745","N435AS","SEA","18:10","18:03","340","334","-7","18:17","14","0","0","0","0","0"
"AS","01/19/2016","0745","N483AS","SEA","18:40","18:34","340","312","-6","18:46","12","0","0","0","0","0"
"AS","01/19/2016","0749","N532AS","SEA","07:00","06:56","335","322","-4","07:08","12","0","0","0","0","0"
"AS","01/19/2017","0749","N318AS","SEA","07:05","06:53","335","314","-12","07:13","20","0","0","0","0","0"
"AS","01/19/2017","0777","N471AS","SEA","18:40","20:37","335","311","117","21:02","25","0","0","0","0","93"
"AS","01/19/2018","0745","N281AK","SEA","15:52","15:44","345","331","-8","15:58","14","0","0","0","0","0"
"AS","01/19/2019","0745","N272AK","SEA","15:00","14:52","345","345","-8","15:07","15","0","0","0","0","0"
"AS","01/20/2015","0745","N467AS","SEA","18:10","18:13","340","325","3","18:25","12","0","0","0","0","0"
